State,Average_Volume
ALASKA,123
ALABAMA,341
ARKANSAS,89
ARIZONA,533
CALIFORNIA,1290
COLORADO,675
CONNECTICUT,450
DISTRICT OF COLUMBIA,528
DELAWARE,521
FLORIDA,362
GEORGIA,420
HAWAII,404
IOWA,123
IDAHO,193
ILLINOIS,394
INDIANA,329
KANSAS,138
KENTUCKY,263
LOUISIANA,434
MASSACHUSETTS,554
MARYLAND,529
MAINE,219
MICHIGAN,340
MINNESOTA,290
MISSOURI,287
MISSISSIPPI,217
MONTANA,73
NORTH CAROLINA,824
NORTH DAKOTA,64
NEBRASKA,252
NEW HAMPSHIRE,659
NEW JERSEY,431
NEW MEXICO,351
NEVADA,244
NEW YORK,249
OHIO,339
OKLAHOMA,284
OREGON,429
PENNSYLVANIA,305
RHODE ISLAND,574
SOUTH CAROLINA,325
SOUTH DAKOTA,90
TENNESSEE,318
TEXAS,645
UTAH,373
VIRGINIA,831
VERMONT,143
WASHINGTON,426
WISCONSIN,271
WEST VIRGINIA,150
WYOMING,62
